Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
158,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cymbopetalum baillonii,T,E,,,N,,2.04,0.119,0.162,-0.678,-0.635,,,,,,,,,,
159,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cynometra retusa,T,E,,,Y,,2.11,0.072,0.178,-1.026,-0.921,,,,,,,,,,
165,Bongers_et_al_Los_Tuxtlas,TROP_RF,Dendropanax arboreus,T,E,,,N,,1.97,-0.048,-0.076,-0.859,-0.887,,,,,,,,,,
166,Bongers_et_al_Los_Tuxtlas,TROP_RF,Dialium guianense,T,D,,,Y,,1.92,0.227,0.148,-0.931,-1.010,,,,,,,,,,
173,Bongers_et_al_Los_Tuxtlas,TROP_RF,Dussia mexicana,T,D,,,Y,,1.92,0.200,0.115,-0.874,-0.958,,,,,,,,,,
175,Bongers_et_al_Los_Tuxtlas,TROP_RF,Erythrina folkersii,T,D,,,Y,,1.69,0.444,0.130,-0.820,-1.134,,,,,,,,,,
182,Bongers_et_al_Los_Tuxtlas,TROP_RF,Faramea occidentalis,T,E,,,N,,1.94,0.092,0.032,-1.083,-1.143,,,,,,,,,,
187,Bongers_et_al_Los_Tuxtlas,TROP_RF,Ficus tecolutensis,T,E,,,N,,2.12,,,-1.071,-0.951,,,,,,,,,,
188,Bongers_et_al_Los_Tuxtlas,TROP_RF,Ficus yoponensis,T,E,,,N,,2.02,0.237,0.256,-0.899,-0.880,,,,,,,,,,
193,Bongers_et_al_Los_Tuxtlas,TROP_RF,Guamia LT sp1,T,E,,,N,,1.66,0.240,-0.103,-0.911,-1.254,,,,,,,,,,
194,Bongers_et_al_Los_Tuxtlas,TROP_RF,Guarea glabra,T,E,,,N,,2.06,0.243,0.306,-0.977,-0.914,,,,,,,,,,
195,Bongers_et_al_Los_Tuxtlas,TROP_RF,Guarea grandifolia,T,E,,,N,,2.00,0.204,0.207,-0.743,-0.739,,,,,,,,,,
197,Bongers_et_al_Los_Tuxtlas,TROP_RF,Hampea nutricia,T,E,,,N,,1.79,0.323,0.110,-0.710,-0.924,,,,,,,,,,
200,Bongers_et_al_Los_Tuxtlas,TROP_RF,Heliocarpus appendiculatus,T,E,,,N,,1.71,0.326,0.040,-0.772,-1.058,,,,,,,,,,
212,Bongers_et_al_Los_Tuxtlas,TROP_RF,Inga quaternata,T,E,,,Y,,1.97,,,-1.012,-1.046,,,,,,,,,,
223,Bongers_et_al_Los_Tuxtlas,TROP_RF,Lonchocarpus guatemalensis,T,D,,,Y,,1.99,0.394,0.382,-0.950,-0.962,,,,,,,,,,
224,Bongers_et_al_Los_Tuxtlas,TROP_RF,Lunania mexicana,T,E,,,N,,1.74,0.176,-0.080,-0.809,-1.064,,,,,,,,,,
236,Bongers_et_al_Los_Tuxtlas,TROP_RF,Mortoniodendron guatemalense,T,E,,,N,,2.00,0.180,0.180,-1.063,-1.064,,,,,,,,,,
239,Bongers_et_al_Los_Tuxtlas,TROP_RF,Myriocarpa longipes,S,D,,,N,,1.73,0.160,-0.107,-0.939,-1.206,,,,,,,,,,
240,Bongers_et_al_Los_Tuxtlas,TROP_RF,Nectandra ambigens,T,E,,,N,,2.14,0.228,0.364,-0.985,-0.848,,,,,,,,,,
248,Bongers_et_al_Los_Tuxtlas,TROP_RF,Omphalea oleifera,T,D,,,N,,1.85,0.403,0.249,-0.636,-0.791,,,,,,,,,,
